Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,County,Region,Product ID,Category,Sub-Category,Manufacturer,Sales,Quantity,Discount,Profit
27,CA-2017-121755,16-01-17,20-01-17,Second Class,EH-13945,Eric Hoffmann,Consumer,Kenya,California,West,TEC-AC-10003027,Technology,Accessories,Other,90.57,3,0,11.7741
45,CA-2017-118255,11-03-17,13-03-17,First Class,ON-18715,Odella Nelson,Corporate,Kenya,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,Other,45.98,2,0,19.7714
48,CA-2017-169194,20-06-17,25-06-17,Standard Class,LH-16900,Lena Hernandez,Consumer,Kenya,Delaware,East,TEC-AC-10002167,Technology,Accessories,Other,45,3,0,4.95
60,CA-2017-111682,17-06-17,18-06-17,First Class,TB-21055,Ted Butterfield,Consumer,Kenya,New York,East,TEC-AC-10002167,Technology,Accessories,Other,30,2,0,3.3
63,CA-2016-135545,24-11-16,30-11-16,Standard Class,KM-16720,Kunst Miller,Consumer,Kenya,California,West,TEC-AC-10004633,Technology,Accessories,Other,13.98,2,0,6.1512
87,CA-2018-155558,26-10-18,02-11-18,Standard Class,PG-18895,Paul Gonzalez,Consumer,Kenya,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Other,19.99,1,0,6.7966
101,CA-2017-158568,29-08-17,02-09-17,Standard Class,RB-19465,Rick Bensley,Home Office,Kenya,Illinois,Central,TEC-AC-10001767,Technology,Accessories,Other,95.976,3,0.2,-10.7973
104,US-2016-156867,13-11-16,17-11-16,Standard Class,LC-16870,Lena Cacioppo,Consumer,Kenya,Colorado,West,TEC-AC-10001552,Technology,Accessories,Other,238.896,6,0.2,-26.8758
107,CA-2018-119004,23-11-18,28-11-18,Standard Class,JM-15250,Janet Martin,Consumer,Kenya,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Other,74.112,8,0.2,17.6016
110,CA-2016-129476,15-10-16,20-10-16,Standard Class,PA-19060,Pete Armstrong,Home Office,Kenya,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Other,339.96,5,0.2,67.992
